cpf_cnpj;status_conta;tipo_pessoa;des_segmento;nome_razao_social;dt_renovacao_cadastral;des_email;nucleo;idade;data_nascimento;des_cbo;cod_conglomerado;flg_sexo;tel_cel;endereco_completo;nome_pessoa_conj;cpf_conj;estado_civil;nome_regime_bem;vlr_saldo_atual_capital;num_matricula;dat_associacao;nacionalidade;faixa_principalidade;sld_cred_rural;sld_cred_comercial;sld_cred_direcionados;sld_cred_rural_direc;vlr_limite_cheque_especial;vlr_limite_cartao_liberado;vlr_bens_total;faixa_risco;last_update;saldo;vlr_bem_total;cpf_cnpj_titular;num_cpf_cnpj;cpf_corrent;num_cpf_cnpj_y;des_estado_civil;des_pessoa;num_cpf_cnpj_x;endereco;numero;complemento;bairro;municipio;estado;cep;flg_ativo
90000000175;CONTA ATIVA;PF;PF Urbano;CARLOS ALMEIDA;2026-01-23 00:00:00.000;carlos.almeida@teste.local;702;54.0;1972-03-10 00:00:00.000;Administrador;77701;masculino;41999000001;RUA FAMILIA ALMEIDA, 100, CASA - CENTRO - CURITIBA/PR;MARIA SOUZA ALMEIDA;90000000256;Casado(A);Comunhao Parcial De Bens;12000.00;000400001;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;12000.00;50000.00;;90000000175;90000000175;;Casado(A);CARLOS ALMEIDA;;RUA FAMILIA ALMEIDA;100;CASA;CENTRO;CURITIBA;PR;80000001;S
90000000256;CONTA ATIVA;PF;PF Urbano;MARIA SOUZA ALMEIDA;2026-01-23 00:00:00.000;maria.almeida@teste.local;703;52.0;1974-08-21 00:00:00.000;Contadora;77701;feminino;41999000002;RUA FAMILIA ALMEIDA, 100, CASA - CENTRO - CURITIBA/PR;CARLOS ALMEIDA;90000000175;Casado(A);Comunhao Parcial De Bens;9800.00;000400002;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;9800.00;50000.00;;90000000256;90000000256;;Casado(A);MARIA SOUZA ALMEIDA;;RUA FAMILIA ALMEIDA;100;CASA;CENTRO;CURITIBA;PR;80000001;S
90000000337;CONTA ATIVA;PF;PF Urbano;ANA ALMEIDA;2026-01-23 00:00:00.000;ana.almeida@teste.local;704;28.0;1998-05-12 00:00:00.000;Advogada;77701;feminino;41999000003;RUA DAS FLORES, 210, APTO 31 - BATEL - CURITIBA/PR;EDUARDO MARTINS;90000000507;Casado(A);Comunhao Parcial De Bens;4500.00;000400003;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Baixissimo;2026-06-18 17:35:36.151;4500.00;50000.00;;90000000337;90000000337;;Casado(A);ANA ALMEIDA;;RUA DAS FLORES;210;APTO 31;BATEL;CURITIBA;PR;80000002;S
90000000418;CONTA ATIVA;PF;PF Urbano;BRUNO ALMEIDA;2026-01-23 00:00:00.000;bruno.almeida@teste.local;705;25.0;2001-09-30 00:00:00.000;Estudante;77701;masculino;41999000004;RUA FAMILIA ALMEIDA, 100, CASA - CENTRO - CURITIBA/PR;;;Solteiro(A);;900.00;000400004;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 2;2026-06-18 17:35:36.151;900.00;50000.00;;90000000418;90000000418;;Solteiro(A);BRUNO ALMEIDA;;RUA FAMILIA ALMEIDA;100;CASA;CENTRO;CURITIBA;PR;80000001;S
90000000507;CONTA ATIVA;PF;PF Urbano;EDUARDO MARTINS;2026-01-23 00:00:00.000;eduardo.martins@teste.local;706;30.0;1996-11-02 00:00:00.000;Engenheiro;;masculino;43999000005;RUA DAS FLORES, 210, APTO 31 - BATEL - LONDRINA/PR;ANA ALMEIDA;90000000337;Casado(A);Comunhao Parcial De Bens;3800.00;000400005;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Baixissimo;2026-06-18 17:35:36.151;3800.00;50000.00;;90000000507;90000000507;;Casado(A);EDUARDO MARTINS;;RUA DAS FLORES;210;APTO 31;BATEL;LONDRINA;PR;80000002;S
90000000680;CONTA ATIVA;PF;PF Urbano;PAULA ALMEIDA;2026-01-23 00:00:00.000;paula.almeida@teste.local;707;48.0;1978-01-17 00:00:00.000;Medica;;feminino;41999000006;RUA DO LAGO, 55, CASA - AHU - CURITIBA/PR;ROBERTO PEREIRA;;Casado(A);Separacao Total De Bens;7000.00;000400006;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 2;2026-06-18 17:35:36.151;7000.00;50000.00;;90000000680;90000000680;;Casado(A);PAULA ALMEIDA;;RUA DO LAGO;55;CASA;AHU;CURITIBA;PR;80000003;S
90000000760;CONTA ATIVA;PF;PF Urbano;MARCELO ALMEIDA;2026-01-23 00:00:00.000;marcelo.almeida@teste.local;708;46.0;1980-06-25 00:00:00.000;Comerciante;;masculino;41999000007;RUA DO LAGO, 58, CASA - AHU - CURITIBA/PR;;;Solteiro(A);;1100.00;000400007;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Alto 2;2026-06-18 17:35:36.151;1100.00;50000.00;;90000000760;90000000760;;Solteiro(A);MARCELO ALMEIDA;;RUA DO LAGO;58;CASA;AHU;CURITIBA;PR;80000003;S
90000000841;CONTA ATIVA;PF;PF Urbano;JOAO INVESTIDOR;2026-01-23 00:00:00.000;joao.investidor@teste.local;709;57.0;1969-04-01 00:00:00.000;Empresario;;masculino;19999000008;AVENIDA PAULISTA, 1500, CJ 90 - BELA VISTA - CAMPINAS/SP;LUCIA COSTA;90000001066;Casado(A);Comunhao Universal De Bens;20000.00;000400008;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;20000.00;50000.00;;90000000841;90000000841;;Casado(A);JOAO INVESTIDOR;;AVENIDA PAULISTA;1500;CJ 90;BELA VISTA;CAMPINAS;SP;01310000;S
90000000922;CONTA ATIVA;PF;PF Urbano;ROBERTO ANTIGO;2026-01-23 00:00:00.000;roberto.antigo@teste.local;710;68.0;1958-02-20 00:00:00.000;Empresario;;masculino;45999000009;RUA HISTORICA, 9, CASA - CENTRO - CASCAVEL/PR;;;Viuvo(A);;5000.00;000400009;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Alto 2;2026-06-18 17:35:36.151;5000.00;50000.00;;90000000922;90000000922;;Viuvo(A);ROBERTO ANTIGO;;RUA HISTORICA;9;CASA;CENTRO;CASCAVEL;PR;85800000;S
90000001066;CONTA ATIVA;PF;PF Urbano;LUCIA COSTA;2026-01-23 00:00:00.000;lucia.costa@teste.local;711;42.0;1984-12-11 00:00:00.000;Gerente;;feminino;44999000010;RUA CONFLITO, 10, CASA - ZONA 1 - MARINGA/PR;JOAO INVESTIDOR;90000000841;Casado(A);Comunhao Parcial De Bens;2500.00;000400010;2017-08-22 00:00:00.000;Brasileiro(a);Principal;0.00;0.00;0.00;0.00;600.00;2500.00;50000.00;Medio 1;2026-06-18 17:35:36.151;2500.00;50000.00;;90000001066;90000001066;;Casado(A);LUCIA COSTA;;RUA CONFLITO;10;CASA;ZONA 1;MARINGA;PR;87000000;S
