tipo_pessoa;cpf_cnpj;nome_pessoa;cod_grupo;nome_grupo;tipo;flg_status;cod_cooperativa;dat_exclusao;dat_inclusao;last_update;updated_at
PF;90000000175;CARLOS ALMEIDA;77701;GRUPO ALMEIDA OFICIAL;GRUPO_ECONOMICO_EXISTENTE;ATIVO;737;;2025-01-01 00:00:00;2026-06-30 10:00:00;2026-06-30 10:00:00
PF;90000000256;MARIA SOUZA ALMEIDA;77701;GRUPO ALMEIDA OFICIAL;GRUPO_ECONOMICO_EXISTENTE;ATIVO;737;;2025-01-01 00:00:00;2026-06-30 10:00:00;2026-06-30 10:00:00
PJ;90100001000109;ALMEIDA HOLDING LTDA;77701;GRUPO ALMEIDA OFICIAL;GRUPO_ECONOMICO_EXISTENTE;ATIVO;737;;2025-01-01 00:00:00;2026-06-30 10:00:00;2026-06-30 10:00:00
PF;90000000175;CARLOS ALMEIDA;88802;GRUPO HOLDING E SERVICOS;GRUPO_ECONOMICO_EXISTENTE;ATIVO;737;;2025-01-01 00:00:00;2026-06-30 10:00:00;2026-06-30 10:00:00
PJ;90100001000109;ALMEIDA HOLDING LTDA;88802;GRUPO HOLDING E SERVICOS;GRUPO_ECONOMICO_EXISTENTE;ATIVO;737;;2025-01-01 00:00:00;2026-06-30 10:00:00;2026-06-30 10:00:00
PJ;90100002000145;ALMEIDA SERVICOS LTDA;88802;GRUPO HOLDING E SERVICOS;GRUPO_ECONOMICO_EXISTENTE;ATIVO;737;;2025-01-01 00:00:00;2026-06-30 10:00:00;2026-06-30 10:00:00
PF;90000000256;MARIA SOUZA ALMEIDA;77704;GRUPO FAMILIAR ALMEIDA EXPANSAO;GRUPO_ECONOMICO_EXISTENTE;ATIVO;737;;2025-01-01 00:00:00;2026-06-30 10:00:00;2026-06-30 10:00:00
PF;90000000680;PAULA ALMEIDA;77704;GRUPO FAMILIAR ALMEIDA EXPANSAO;GRUPO_ECONOMICO_EXISTENTE;ATIVO;737;;2025-01-01 00:00:00;2026-06-30 10:00:00;2026-06-30 10:00:00
PJ;90100008000112;CLINICA EXTERNA LTDA;77704;GRUPO FAMILIAR ALMEIDA EXPANSAO;GRUPO_ECONOMICO_EXISTENTE;ATIVO;737;;2025-01-01 00:00:00;2026-06-30 10:00:00;2026-06-30 10:00:00
PF;90000000841;JOAO INVESTIDOR;99903;GRUPO INVESTIDOR PARCEIRO;GRUPO_ECONOMICO_EXISTENTE;ATIVO;321;;2025-01-01 00:00:00;2026-06-30 10:00:00;2026-06-30 10:00:00
PJ;90100003000190;COMERCIO PARCEIRO LTDA;99903;GRUPO INVESTIDOR PARCEIRO;GRUPO_ECONOMICO_EXISTENTE;ATIVO;321;;2025-01-01 00:00:00;2026-06-30 10:00:00;2026-06-30 10:00:00
PF;90000000418;BRUNO ALMEIDA;55505;GRUPO HISTORICO INATIVO;GRUPO_ECONOMICO_EXISTENTE;INATIVO;737;2026-03-01 00:00:00;2025-01-01 00:00:00;2026-06-30 10:00:00;2026-06-30 10:00:00
PF;;PESSOA SEM DOCUMENTO TESTE;66606;GRUPO DOCUMENTO PENDENTE;GRUPO_ECONOMICO_EXISTENTE;ATIVO;737;;2025-01-01 00:00:00;2026-06-30 10:00:00;2026-06-30 10:00:00
