id;cod_cooperativa;des_marca;nome_pessoa;cpf_cnpj;dat_nascimento;tipo_sexo;num_idade;dat_obito;nom_estado_civil;des_regime_bem;nom_pai;nom_mae;cidade_natal;estado_natal;des_ocupacao;des_empregador;cpf_cnpj_empregador;des_email;num_ddd;num_telefone;tpo_endereco;des_logradouro;num_endereco;des_complemento;des_cep;des_bairro;des_cidade;sgl_uf;dat_cadastro;nome_pessoa_normalizado;nom_mae_normalizado;nom_pai_normalizado;primeiro_nome_mae;dat_nascimento_normalizado;hash_linha;blocking_key;execution_id;updated_at
3400001;321;SICREDI;CARLOS ALMEIDA;90000000175;1972-03-10 00:00:00;MASCULINO;54;;CASADO(A);COMUNHAO PARCIAL DE BENS;JOSE ALMEIDA;HELENA COSTA;CURITIBA;PR;ADMINISTRADOR;ALMEIDA HOLDING LTDA;90100001000109;carlos.almeida@teste.local;41;999000001;RESIDENCIAL;RUA FAMILIA ALMEIDA;100;CASA;80000001;CENTRO;CURITIBA;PR;2025-10-29 11:49:11;CARLOS ALMEIDA;HELENA COSTA;JOSE ALMEIDA;HELENA;19720310;577d417a5b0b27c181816d3f174d39cfb07918d468dd0837fe37f859e481e370;MAE=HELENA COSTA|PAI=JOSE ALMEIDA|ANO=1972|CID=CURITIBA;FULL_TESTE_GRAFO_KYC_20260619_ETL;2026-06-19 19:44:46.325
3400002;555;COOP_TESTE;MARIA SOUZA ALMEIDA;90000000256;1974-08-21 00:00:00;FEMININO;52;;CASADO(A);COMUNHAO PARCIAL DE BENS;PEDRO SOUZA;OLIVIA RAMOS;CURITIBA;PR;CONTADORA;ALMEIDA SERVICOS LTDA;90100002000145;maria.almeida@teste.local;41;999000002;RESIDENCIAL;RUA FAMILIA ALMEIDA;100;CASA;80000001;CENTRO;CURITIBA;PR;2025-10-29 11:49:11;MARIA SOUZA ALMEIDA;OLIVIA RAMOS;PEDRO SOUZA;OLIVIA;19740821;2ef93b65722eb466517197539cddea36604c897d30aa8491b19580ea8e762763;MAE=OLIVIA RAMOS|PAI=PEDRO SOUZA|ANO=1974|CID=CURITIBA;FULL_TESTE_GRAFO_KYC_20260619_ETL;2026-06-19 19:44:46.325
3400003;912;LEGADO;ANA ALMEIDA;90000000337;1998-05-12 00:00:00;FEMININO;28;;CASADO(A);COMUNHAO PARCIAL DE BENS;CARLOS ALMEIDA;MARIA SOUZA ALMEIDA;CURITIBA;PR;ADVOGADA;ALMEIDA SERVICOS LTDA;90100002000145;ana.almeida@teste.local;41;999000003;RESIDENCIAL;RUA DAS FLORES;210;APTO 31;80000002;BATEL;CURITIBA;PR;2025-10-29 11:49:11;ANA ALMEIDA;MARIA SOUZA ALMEIDA;CARLOS ALMEIDA;MARIA;19980512;bb316a8632c9fc96319a3b2e3104c744a7592693494f077e13ad72d1dc5bfbbd;MAE=MARIA SOUZA ALMEIDA|PAI=CARLOS ALMEIDA|ANO=1998|CID=CURITIBA;FULL_TESTE_GRAFO_KYC_20260619_ETL;2026-06-19 19:44:46.325
3400004;737;SICREDI;BRUNO ALMEIDA;90000000418;2001-09-30 00:00:00;MASCULINO;25;;SOLTEIRO(A);;CARLOS ALMEIDA;MARIA SOUZA ALMEIDA;CURITIBA;PR;ESTUDANTE;;;bruno.almeida@teste.local;41;999000004;RESIDENCIAL;RUA FAMILIA ALMEIDA;100;CASA;80000001;CENTRO;CURITIBA;PR;2025-10-29 11:49:11;BRUNO ALMEIDA;MARIA SOUZA ALMEIDA;CARLOS ALMEIDA;MARIA;20010930;998e48ad41d0acebfdcd1f116ba55319d742baeea8f420d2d198cbf75bd2bbc1;MAE=MARIA SOUZA ALMEIDA|PAI=CARLOS ALMEIDA|ANO=2001|CID=CURITIBA;FULL_TESTE_GRAFO_KYC_20260619_ETL;2026-06-19 19:44:46.325
3400005;321;COOP_TESTE;EDUARDO MARTINS;90000000507;1996-11-02 00:00:00;MASCULINO;30;;CASADO(A);COMUNHAO PARCIAL DE BENS;OSVALDO MARTINS;DENISE LIMA;LONDRINA;PR;ENGENHEIRO;ALMEIDA SERVICOS LTDA;90100002000145;eduardo.martins@teste.local;43;999000005;RESIDENCIAL;RUA DAS FLORES;210;APTO 31;80000002;BATEL;LONDRINA;PR;2025-10-29 11:49:11;EDUARDO MARTINS;DENISE LIMA;OSVALDO MARTINS;DENISE;19961102;79216e660b943c4b7fd178fe58e84184dd982c6aa4de91e7700e418a0a873e1f;MAE=DENISE LIMA|PAI=OSVALDO MARTINS|ANO=1996|CID=LONDRINA;FULL_TESTE_GRAFO_KYC_20260619_ETL;2026-06-19 19:44:46.325
3400006;555;LEGADO;PAULA ALMEIDA;90000000680;1978-01-17 00:00:00;FEMININO;48;;CASADO(A);SEPARACAO TOTAL DE BENS;JOSE ALMEIDA;HELENA COSTA;CURITIBA;PR;MEDICA;CLINICA EXTERNA LTDA;90100008000112;paula.almeida@teste.local;41;999000006;RESIDENCIAL;RUA DO LAGO;55;CASA;80000003;AHU;CURITIBA;PR;2025-10-29 11:49:11;PAULA ALMEIDA;HELENA COSTA;JOSE ALMEIDA;HELENA;19780117;87f85c4925a46de22757dcacb005f52d6a4e03af1c750c2032e6202156f09474;MAE=HELENA COSTA|PAI=JOSE ALMEIDA|ANO=1978|CID=CURITIBA;FULL_TESTE_GRAFO_KYC_20260619_ETL;2026-06-19 19:44:46.325
3400007;912;SICREDI;MARCELO ALMEIDA;90000000760;1980-06-25 00:00:00;MASCULINO;46;;SOLTEIRO(A);;JOSE ALMEIDA;ELVIRA DUARTE;CURITIBA;PR;COMERCIANTE;;;marcelo.almeida@teste.local;41;999000007;RESIDENCIAL;RUA DO LAGO;58;CASA;80000003;AHU;CURITIBA;PR;2025-10-29 11:49:11;MARCELO ALMEIDA;ELVIRA DUARTE;JOSE ALMEIDA;ELVIRA;19800625;867e4e728adb71bd32561fa1d23cf742c35e34e254e80c11e83aabdfef9516b2;MAE=ELVIRA DUARTE|PAI=JOSE ALMEIDA|ANO=1980|CID=CURITIBA;FULL_TESTE_GRAFO_KYC_20260619_ETL;2026-06-19 19:44:46.325
3400008;737;COOP_TESTE;JOAO INVESTIDOR;90000000841;1969-04-01 00:00:00;MASCULINO;57;;CASADO(A);COMUNHAO UNIVERSAL DE BENS;ALBERTO INVESTIDOR;NAIR INVESTIDOR;CAMPINAS;SP;EMPRESARIO;COMERCIO PARCEIRO LTDA;90100003000190;joao.investidor@teste.local;19;999000008;RESIDENCIAL;AVENIDA PAULISTA;1500;CJ 90;01310000;BELA VISTA;CAMPINAS;SP;2025-10-29 11:49:11;JOAO INVESTIDOR;NAIR INVESTIDOR;ALBERTO INVESTIDOR;NAIR;19690401;3b264055446f86c486734d0e9487c6735563f7949d968c42e11bb7697b06c7f4;MAE=NAIR INVESTIDOR|PAI=ALBERTO INVESTIDOR|ANO=1969|CID=CAMPINAS;FULL_TESTE_GRAFO_KYC_20260619_ETL;2026-06-19 19:44:46.325
3400009;321;LEGADO;ROBERTO ANTIGO;90000000922;1958-02-20 00:00:00;MASCULINO;68;2025-03-10 00:00:00;VIUVO(A);;RENATO ANTIGO;TEREZA ANTIGO;CASCAVEL;PR;EMPRESARIO;ALMEIDA HOLDING LTDA;90100001000109;roberto.antigo@teste.local;45;999000009;RESIDENCIAL;RUA HISTORICA;9;CASA;85800000;CENTRO;CASCAVEL;PR;2025-10-29 11:49:11;ROBERTO ANTIGO;TEREZA ANTIGO;RENATO ANTIGO;TEREZA;19580220;e266fe6056f66ed1d50b46cfcff529357db8fbfef3be6ed4649f850f78e1aa5e;MAE=TEREZA ANTIGO|PAI=RENATO ANTIGO|ANO=1958|CID=CASCAVEL;FULL_TESTE_GRAFO_KYC_20260619_ETL;2026-06-19 19:44:46.325
3400010;555;SICREDI;LUCIA COSTA;90000001066;1984-12-11 00:00:00;FEMININO;42;;CASADO(A);COMUNHAO PARCIAL DE BENS;MARIO COSTA;CELIA COSTA;MARINGA;PR;GERENTE;EMPRESA TESTE X;90100009000167;lucia.costa@teste.local;44;999000010;RESIDENCIAL;RUA CONFLITO;10;CASA;87000000;ZONA 1;MARINGA;PR;2025-10-29 11:49:11;LUCIA COSTA;CELIA COSTA;MARIO COSTA;CELIA;19841211;a888c2ab9add8e1031ace1f456bffd82a6bb53c4ea5c5c67708faa16dc9033fe;MAE=CELIA COSTA|PAI=MARIO COSTA|ANO=1984|CID=MARINGA;FULL_TESTE_GRAFO_KYC_20260619_ETL;2026-06-19 19:44:46.325
