entidade_id;tipo_entidade;cpf_cnpj;nome_canonico;nome_original;data_nascimento;data_obito;status_entidade;documento_valido;entidade_provisoria;fonte_principal;data_atualizacao;alertas
ESPOLIO:90000000922;ESPOLIO;90000000922;ESPOLIO DE ROBERTO ANTIGO;ESPOLIO DE ROBERTO ANTIGO;;;HISTORICO;true;false;stg_pessoa_fisica_atual_202606191707.csv;2026-06-19 19:44:46.325;PESSOA_FALECIDA_COM_REPRESENTACAO_HISTORICA
PF:00000000000;PF;00000000000;DOCUMENTO INVALIDO;DOCUMENTO INVALIDO;1999-09-09 00:00:00;;ATIVO;false;false;stg_pessoa_fisica_atual_202606191707.csv;2026-06-19 19:44:46.325;DOCUMENTO_SINTETICO_OU_INVALIDO
PF:90000000175;PF;90000000175;CARLOS ALMEIDA;CARLOS ALMEIDA;1972-03-10 00:00:00;;ATIVO;true;false;stg_pessoa_fisica_atual_202606191707.csv;2026-06-19 19:44:46.325;
PF:90000000256;PF;90000000256;MARIA SOUZA ALMEIDA;MARIA SOUZA ALMEIDA;1974-08-21 00:00:00;;ATIVO;true;false;stg_pessoa_fisica_atual_202606191707.csv;2026-06-19 19:44:46.325;
PF:90000000337;PF;90000000337;ANA ALMEIDA;ANA ALMEIDA;1998-05-12 00:00:00;;ATIVO;true;false;stg_pessoa_fisica_atual_202606191707.csv;2026-06-19 19:44:46.325;
PF:90000000418;PF;90000000418;BRUNO ALMEIDA;BRUNO ALMEIDA;2001-09-30 00:00:00;;ATIVO;true;false;stg_pessoa_fisica_atual_202606191707.csv;2026-06-19 19:44:46.325;
PF:90000000507;PF;90000000507;EDUARDO MARTINS;EDUARDO MARTINS;1996-11-02 00:00:00;;ATIVO;true;false;stg_pessoa_fisica_atual_202606191707.csv;2026-06-19 19:44:46.325;
PF:90000000680;PF;90000000680;PAULA ALMEIDA;PAULA ALMEIDA;1978-01-17 00:00:00;;ATIVO;true;false;stg_pessoa_fisica_atual_202606191707.csv;2026-06-19 19:44:46.325;
PF:90000000760;PF;90000000760;MARCELO ALMEIDA;MARCELO ALMEIDA;1980-06-25 00:00:00;;ATIVO;true;false;stg_pessoa_fisica_atual_202606191707.csv;2026-06-19 19:44:46.325;
PF:90000000841;PF;90000000841;JOAO INVESTIDOR;JOAO INVESTIDOR;1969-04-01 00:00:00;;ATIVO;true;false;stg_pessoa_fisica_atual_202606191707.csv;2026-06-19 19:44:46.325;
